"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"205","Los Angeles Rams","","DST10","8","144","244","189.5","21.6","179.0","-26.0"
"206","Jacksonville Jaguars","","DST11","8","143","227","191.4","20.5","193.0","-13.0"
"207","Chris Carson","SEA","RB67","6","111","254","182.6","38.4","243.0","+36.0"
"208","Jalen Richard","OAK","RB68","10","144","254","198.1","30.8","217.0","+9.0"
"209","Nelson Agholor","PHI","WR74","10","141","270","200.8","35.9","288.0","+79.0"
"210","Allen Hurns","JAC","WR75","8","147","268","200.0","29.4","230.0","+20.0"
"211","Pittsburgh Steelers","","DST12","9","144","230","194.8","18.4","165.0","-46.0"
"212","James Conner","PIT","RB69","9","124","287","203.5","39.2","187.0","-25.0"
"213","Vance McDonald","PIT","TE25","9","126","266","199.7","30.4","227.0","+14.0"
"214","Chris Conley","KC","WR76","10","152","267","207.3","31.2","287.0","+73.0"
"215","Tavon Austin","LAR","WR77","8","119","258","209.2","34.0","252.0","+37.0"
"216","Austin eferian-Jenkins NYJ S","TE26","11","157","320","202.9","33.4","292.0","+76.0"
"217","Cincinnati Bengals","","DST13","6","147","244","204.2","28.0","231.0","+14.0"
"218","Dwayne Allen","NE","TE27","9","144","275","205.4","29.7","276.0","+58.0"
"219","Baltimore Ravens","","DST14","10","149","240","196.6","18.5","181.0","-38.0"
"220","De'Angelo Henderson","DEN","RB70","5","132","261","197.6","42.0","223.0","+3.0"
"221","David Njoku","CLE","TE28","9","138","238","200.4","22.1","224.0","+3.0"
"222","DeShone Kizer","CLE","QB27","9","117","307","209.9","36.1","308.0","+86.0"
"223","Marquise Goodwin","SF","WR78","11","138","317","205.1","40.3","330.0","+107.0"
"224","Cairo Santos","KC","K7","10","148","288","202.5","24.8","160.0","-64.0"
"225","Philadelphia Eagles","","DST15","10","145","241","202.1","23.2","191.0","-34.0"
"226","Jared Goff","LAR","QB28","8","136","291","205.5","29.3","274.0","+48.0"
"227","Trevor Siemian","DEN","QB29","5","121","283","209.1","30.4","281.0","+54.0"
"228","Matt Prater","DET","K8","7","154","246","201.5","21.4","192.0","-36.0"
"229","Devontae Booker","DEN","RB71","5","136","268","211.9","33.5","234.0","+5.0"
"230","Mike Williams","LAC","WR79","9","108","335","214.1","43.5","255.0","+25.0"
"231","Zach Miller","CHI","TE29","9","119","285","205.9","29.2","319.0","+88.0"
"232","Dustin Hopkins","WAS","K9","5","157","274","208.9","27.7","213.0","-19.0"
"233","ArDarius Stewart","NYJ","WR80","11","154","258","210.1","29.7","220.0","-13.0"
"234","Will Lutz","NO","K10","5","156","240","205.4","22.0","156.0","-78.0"
"235","Jerick McKinnon","MIN","RB72","9","139","281","217.1","34.8","312.0","+77.0"
"236","Tarik Cohen","CHI","RB73","9","142","303","210.5","38.9","250.0","+14.0"
"237","Jermaine Kearse","NYJ","WR81","11","149","290","215.7","39.9","322.0","+85.0"
"238","T.J. Yeldon","JAC","RB74","8","148","265","211.7","30.0","225.0","-13.0"
"239","Kyle Juszczyk","SF","RB75","11","121","263","198.0","35.9","297.0","+58.0"
"240","Steven Hauschka","BUF","K11","6","154","322","207.5","40.3","168.0","-72.0"
"241","Will Fuller","HOU","WR82","7","127","267","223.0","33.8","268.0","+27.0"
"242","Terrance Williams","DAL","WR83","6","150","271","220.7","33.9","323.0","+81.0"
"243","Curtis Samuel","CAR","WR84","11","149","278","223.6","33.5","244.0","+1.0"
"244","Sebastian Janikowski","OAK","K12","10","165","250","210.4","20.3","171.0","-73.0"
"245","Malcolm Mitchell","NE","WR85","9","158","345","217.3","32.4","222.0","-23.0"
