"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"247","Steven Hauschka","BUF","K11","6","167","267","207.0","30.2","208.0","-39.0"
"248","DeShone Kizer","CLE","QB30","9","143","256","216.1","26.4","247.0","-1.0"
"249","Tyler Boyd","CIN","WR87","6","168","282","218.1","33.1","283.0","+34.0"
"250","Branden Oliver","LAC","RB76","9","148","279","227.9","36.4","226.0","-24.0"
"251","Tim Hightower","FA","RB77","","144","279","209.2","53.5","271.0","+20.0"
"252","Brandon LaFell","CIN","WR88","6","169","282","222.5","31.4","200.0","-52.0"
"253","Los Angeles Chargers","","DST16","9","167","257","208.8","23.9","217.0","-36.0"
"254","Tyler Higbee","LAR","TE32","8","176","274","223.2","28.6","263.0","+9.0"
"255","Jermaine Kearse","NYJ","WR89","11","147","277","216.6","35.3","298.0","+43.0"
"256","Chris Boswell","PIT","K12","9","158","246","220.6","23.1","228.0","-28.0"
"257","Jermaine Gresham","ARI","TE33","8","146","269","229.2","33.6","281.0","+24.0"
"258","Eli Rogers","PIT","WR90","9","141","271","229.0","32.7","337.0","+79.0"
"259","Braxton Miller","HOU","WR91","7","113","276","227.5","38.5","301.0","+42.0"
"260","Alfred Morris","DAL","RB78","6","158","284","228.8","42.2","288.0","+28.0"
"261","Sebastian Janikowski","OAK","K13","10","170","257","214.7","18.6","182.0","-79.0"
"262","Tampa Bay Buccaneers","","DST17","11","160","266","216.7","27.4","276.0","+14.0"
"263","Matt Jones","IND","RB79","11","128","282","239.9","52.1","303.0","+40.0"
"264","Taywan Taylor","TEN","WR92","8","153","316","246.2","48.6","390.0","+126.0"
"265","Mike Glennon","CHI","QB31","9","145","261","230.6","27.3","332.0","+67.0"
"266","Caleb Sturgis","PHI","K14","10","160","265","228.4","26.3","240.0","-26.0"
"267","Laquon Treadwell","MIN","WR93","9","170","279","232.6","29.5","266.0","-1.0"
"268","Travis Benjamin","LAC","WR94","9","158","278","232.9","29.6","306.0","+38.0"
"269","Javorius Allen","BAL","RB80","10","143","280","240.5","43.4","290.0","+21.0"
"270","Atlanta Falcons","","DST18","5","163","266","224.9","28.7","194.0","-76.0"
"271","Maxx Williams","BAL","TE34","10","136","263","225.0","40.1","388.0","+117.0"
"272","Seth Roberts","OAK","WR95","10","171","265","220.2","29.1","348.0","+76.0"
"273","Gerald Everett","LAR","TE35","8","168","255","210.4","27.2","296.0","+23.0"
"274","Tennessee Titans","","DST19","8","168","258","220.8","26.9","286.0","+12.0"
"275","Dede Westbrook","JAC","WR96","8","143","275","225.3","37.0","304.0","+29.0"
"276","Brandon Coleman","NO","WR97","5","144","268","235.9","33.7","251.0","-25.0"
"277","Graham Gano","CAR","K15","11","174","247","224.2","19.8","242.0","-35.0"
"278","Brandon McManus","DEN","K16","5","172","267","221.0","21.4","241.0","-37.0"
"279","Orleans Darkwa","NYG","RB81","8","153","282","247.7","37.8","312.0","+33.0"
"280","Tom Savage","HOU","QB32","7","156","261","236.9","28.9","331.0","+51.0"
"281","Nick Novak","FA","K17","","176","260","225.0","32.9","333.0","+52.0"
"282","Wayne Gallman","NYG","RB82","8","178","311","248.9","48.5","272.0","-10.0"
"283","Buffalo Bills","","DST20","6","161","266","231.6","25.2","311.0","+28.0"
"284","Chandler Catanzaro","NYJ","K18","11","182","264","214.3","25.3","308.0","+24.0"
"285","Vernon Davis","WAS","TE36","5","182","274","242.4","27.8","335.0","+50.0"
"286","Mike Tolbert","BUF","RB83","6","169","283","237.6","36.3","373.0","+87.0"
"287","Jimmy Garoppolo","NE","QB33","9","165","216","190.5","25.5","219.0","-68.0"
"288","Miami Dolphins","","DST21","11","165","260","236.5","21.6","313.0","+25.0"
"289","Josh Gordon CLE ","WR98","9","166","250","208.0","42.0","291.0","+2.0"
"290","New York Jets","","DST22","11","187","253","209.6","23.3","305.0","+15.0"
"291","Garrett Celek","SF","TE37","11","167","255","211.0","44.0","",""
"292","Zach Zenner","DET","RB84","7","182","285","242.7","32.6","221.0","-71.0"
"293","Charone Peake","NYJ","WR99","11","169","281","229.4","33.3","385.0","+92.0"
"294","Mitch Trubisky","CHI","QB34","9","170","261","227.9","31.4","243.0","-51.0"
"295","Nick Folk","TB","K19","11","173","226","205.7","23.3","280.0","-15.0"
"296","Jalin Marshall NYJ ","WR100","11","175","264","219.5","44.5","",""
"297","Blair Walsh","SEA","K20","6","184","265","233.1","23.5","222.0","-75.0"
"298","Deonte Thompson","CHI","WR101","9","176","325","250.5","74.5","315.0","+17.0"
"299","Aaron Jones","GB","RB85","8","177","341","263.5","59.2","282.0","-17.0"
"300","Carlos Henderson DEN ","WR102","5","188","271","229.8","39.3","227.0","-73.0"
"301","Josh McCown","NYJ","QB35","11","182","261","235.1","20.0","269.0","-32.0"
"302","Albert Wilson","KC","WR103","10","190","276","235.0","24.2","398.0","+96.0"
"303","Green Bay Packers","","DST23","8","190","257","219.1","16.7","292.0","-11.0"
"304","Jaelen Strong","HOU","WR104","7","186","276","247.0","29.7","386.0","+82.0"
"305","Jonnu Smith","TEN","TE38","8","187","256","221.5","34.5","394.0","+89.0"
"306","Will Tye","NYJ","TE39","11","187","296","255.0","40.8","",""
"307","Oakland Raiders","","DST24","10","196","257","220.1","19.3","279.0","-28.0"
"308","Chad Williams","ARI","WR105","8","189","232","210.3","17.6","",""
"309","Phillip Dorsett","NE","WR106","9","191","281","239.4","31.3","339.0","+30.0"
"310","Kasen Williams","CLE","WR107","9","194","252","223.0","29.0","248.0","-62.0"
"311","C.J. Spiller","KC","RB86","10","194","287","238.0","38.1","232.0","-79.0"
"312","Virgil Green","DEN","TE40","5","194","270","244.3","35.6","",""
"313","Kerwynn Williams","ARI","RB87","8","194","343","251.2","39.6","244.0","-69.0"
"314","Andre Holmes","BUF","WR108","6","195","281","244.6","31.9","379.0","+65.0"
"315","Paxton Lynch","DEN","QB36","5","196","248","222.0","26.0","352.0","+37.0"
"316","Markus Wheaton","CHI","WR109","9","196","277","233.0","35.8","336.0","+20.0"
"317","George Kittle","SF","TE41","11","197","274","227.8","22.8","278.0","-39.0"
"318","Elijah McGuire","NYJ","RB88","11","199","292","245.5","46.5","374.0","+56.0"
"319","Kenyan Drake","MIA","RB89","11","200","284","239.7","24.7","216.0","-103.0"
"320","Benny Cunningham","CHI","RB90","9","200","284","261.7","28.4","380.0","+60.0"
"321","Cody Kessler","CLE","QB37","9","203","250","226.5","23.5","351.0","+30.0"
